Country_order,Total_cases,New_cases,Total_Detaths,New_Deaths,Total_Recovered,New_Recovered,Active_cases,Serious_Critical,Tot_Cases_1M_pop,Deaths_1M_pop,Total_Tests,Test_1M_pop,Population
North America,98810232,55759,1463761,196,94409601,18622,2936870,7250,,,,,
Asia,148610009,109291,1425746,223,126492350,56590,20691913,12521,,,,,
South America,56934543,23373,1295337,143,53048369,4653,2590837,10739,,,,,
Europe,192576159,221549,1824134,1063,179010229,424999,11741796,8566,,,,,
Oceania,7446942,45613,10939,53,6968385,8830,467618,159,,,,,
Africa,11941409,9613,253963,36,11130986,4461,556460,964,,,,,
World,516320015,465198,6273895,1714,471060626,518155,38985494,40199,66239,804.9,,,
USA,83488464,50461,1024072,153,80887197,15105,1577195,1701,249540,3061,1009046010,3015949,334569983
India,43098285,3737,523975,,42547699,,26611,698,30676,373,838955577,597147,1404939670
Brazil,30543908,19725,664091,124,29609094,,270723,8318,141843,3084,63776166,296170,215336405
France,28890139,40224,146608,110,27537876,111461,1205655,1511,440809,2237,269816888,4116893,65538961
Germany,25289590,86026,136812,248,23135500,135000,2017278,1279,300079,1623,122332384,1451563,84276309
UK,22114034,6551,176212,228,21456269,27474,481553,253,322638,2571,519264096,7575917,68541415
Russia,18216719,5541,376696,136,17588067,9408,251956,2300,124730,2579,273400000,1871969,146049463
S. Korea,17464782,26714,23206,48,,,,423,340111,452,15804065,307770,51350274
Italy,16726990,43947,164304,125,15416301,62978,1146385,363,277403,2725,215559634,3574879,60298443
Turkey,15040238,1743,98826,7,14938050,2239,3362,975,174872,1149,159650441,1856251,86006947
Spain,12009059,18526,104869,67,11467015,6703,437175,339,256669,2241,471036328,10067447,46788060
Vietnam,10670570,3819,43055,6,9316237,1817,1311278,480,107840,435,85804106,867162,98948207
Argentina,9083673,,128653,,8895999,,59021,372,197652,2799,35716069,777146,45957986
Netherlands,8057700,1303,22270,1,7925873,27114,109557,52,468347,1294,21107399,1226850,17204551
Japan,8000280,21368,29726,18,7630309,32721,340245,170,63613,236,49155081,390849,125764967
Iran,7224431,375,141157,12,6999709,2659,83565,952,84036,1642,50914586,592246,85968659
Australia,6168861,38113,7454,30,5800078,,361329,127,236866,286,69812523,2680599,26043626
Colombia,6093645,,139809,,5927076,,26760,342,117457,2695,34560302,666163,51879622
Indonesia,6047986,245,156357,17,5885099,329,6530,2771,21690,561,95994568,344265,278839237
Poland,5999517,611,116124,25,5334855,42,548538,1125,158842,3074,36144527,956953,37770435
Mexico,5740080,,324350,,5039624,,376106,4798,43677,2468,15801675,120236,131422318
Ukraine,5002870,,108411,,,,,177,115671,2507,19521252,451348,43250980
Malaysia,4454113,,35569,,4391090,,27454,66,134451,1074,58880012,1777344,33128087
Thailand,4308319,7705,28979,62,4181671,11252,97669,1496,61440,413,17270775,246297,70121872
Austria,4172760,6001,18228,6,4084163,5916,70369,76,458502,2003,183969298,20214529,9100845
Israel,4087885,1084,10741,12,4052605,,24539,150,438332,1152,41373364,4436346,9326000
Belgium,4071279,,31494,,3861145,11116,178640,131,348499,2696,33643042,2879824,11682324
Czechia,3911324,935,40203,5,3860191,2706,10930,24,363997,3741,55261935,5142801,10745494
Portugal,3853800,,22280,,,,,61,379981,2197,41500718,4091936,10142074
South Africa,3827378,9253,100505,34,3673270,4288,53603,192,63072,1656,24626847,405828,60682906
Canada,3787345,4254,39716,43,3476854,3086,270775,468,98757,1036,61107311,1593397,38350336
Philippines,3686693,150,60439,,3621737,327,4517,289,32840,538,29677552,264361,112261400
Switzerland,3619035,,13865,,3500631,8580,104539,69,412616,1581,20851897,2377383,8770946
Chile,3572817,3325,57614,17,3438641,4021,76562,180,183997,2967,37263025,1919016,19417781
Peru,3568692,,212906,,,,,295,105533,6296,29981447,886608,33815913
Greece,3353886,5130,29349,34,3248273,,76264,211,324690,2841,80435748,7786993,10329501
Denmark,2970809,807,6226,8,2951608,1509,12975,8,509600,1068,127272381,21831758,5829690
Romania,2898258,730,65551,8,2606660,,226047,156,152525,3450,22810626,1200440,19001890
Sweden,2503090,,18791,,2472416,,11883,16,245041,1840,18534055,1814395,10215004
Iraq,2325467,70,25213,1,2298866,149,1388,12,55526,602,18493357,441572,41880731
Serbia,2009249,509,16019,4,1980853,2234,12377,22,231675,1847,9530939,1098959,8672699
Bangladesh,1952766,19,29127,,1897046,258,26593,1273,11644,174,14004592,83507,167704846
Hungary,1903200,,46266,,1808061,,48873,40,197935,4812,11355462,1180982,9615274
Slovakia,1784410,504,19961,9,1752249,1732,12200,48,326546,3653,7109492,1301032,5464502
Jordan,1694216,,14048,,1678941,,1227,124,163073,1352,16670254,1604561,10389291
Georgia,1655221,,16811,,1637293,,1117,,416398,4229,16920079,4256522,3975095
Pakistan,1528654,30,30372,,1494141,,4141,101,6682,133,28220768,123357,228773146
Ireland,1522363,889,7131,23,1474063,4054,41169,35,302107,1415,12101379,2401470,5039154
Norway,1427485,,3006,,,,,20,259583,547,11002430,2000751,5499150
Kazakhstan,1305573,7,13661,1,1291252,65,660,24,68036,712,11575012,603196,19189465
Singapore,1212337,3420,1346,2,1145576,,65415,5,204272,227,23767171,4004643,5934904
Hong Kong,1206041,324,9344,11,,,,5,158507,1228,44972952,5910676,7608766
Morocco,1165151,67,16070,1,1148780,72,301,293,30894,426,11237010,297949,37714582
Bulgaria,1158793,,36965,,988914,,132914,77,169109,5395,9877826,1441526,6852339
Croatia,1126501,778,15874,9,1105260,1023,5367,16,277549,3911,4807551,1184491,4058749
Cuba,1103753,147,8527,,1094554,137,672,23,97557,754,12920253,1141979,11313911
Lebanon,1097390,122,10396,1,1083454,298,3540,186,162113,1536,4795578,708433,6769280
Lithuania,1059356,168,9114,2,1028502,818,21740,20,399378,3436,8262024,3114789,2652515
Finland,1052767,,4150,,46000,,1002617,21,189465,747,10773620,1938908,5556539
Tunisia,1040712,,28566,,,,,29,86396,2371,4584296,380569,12045897
Slovenia,1014699,725,6608,3,996371,1158,11720,17,487962,3178,2650666,1274688,2079463
Belarus,981838,579,6966,3,928536,,46336,,103968,738,13191812,1396903,9443611
Nepal,978914,15,11951,,966747,17,216,,32522,397,5650847,187737,30099745
New Zealand,977380,7421,797,23,923036,8295,53547,,195394,159,7099152,1419234,5002100
Bolivia,905272,60,21924,,860929,632,22419,220,75656,1832,2705422,226099,11965638
