Country_order,Total_cases,New_cases,Total_Detaths,New_Deaths,Total_Recovered,New_Recovered,Active_cases,Serious_Critical,Tot_Cases_1M_pop,Deaths_1M_pop,Total_Tests,Test_1M_pop,Population
North America,97056136,392,1448886,5,93194451,1049,2412799,7127,,,,,
Asia,143848225,171653,1411748,559,122902809,83775,19533668,15459,,,,,
South America,56409376,90,1290669,,52215188,473,2903519,11155,,,,,
Europe,183970661,33758,1789830,421,164009809,501032,18171022,10085,,,,,
Oceania,6163706,50575,9658,17,5506232,10967,647816,155,,,,,
Africa,11794485,105,253144,,11029294,263,512047,1329,,,,,
United States,82062989,,1012151,,79908520,,1142318,1624,245376,3026,991173404,2963702,334437650
India,43036132,,521722,,42503383,,11027,698,30652,372,794118951,565606,1404013663
Brazil,30152402,,661309,,29038896,,452197,8318,140092,3073,63776166,296312,215233355
France,26947375,,143288,,24018051,,2786036,1541,411227,2187,260504402,3975399,65529123
Germany,22679247,,132311,,18618400,203800,3928536,2494,269164,1570,122332384,1451878,84258058
UK,21549830,,169759,,19707160,99711,1672911,357,314518,2478,509604812,7437629,68517106
Russia,18007915,11855,371964,248,17239857,26755,396094,2300,123304,2547,273400000,1872023,146045203
S. Korea,15424598,90928,19679,258,,,,1099,300398,383,15804065,307788,51347270
Italy,15292048,,160748,,13884744,,1246556,465,253581,2666,206399929,3422629,60304492
Turkey,14958974,,98409,,14650621,,209944,975,174053,1145,155956251,1814605,85944992
Spain,11627487,,103104,,11033321,,491062,371,248521,2204,471036328,10067713,46786827
Vietnam,10198236,,42813,,8532523,,1622900,1403,103129,433,85007902,859634,98888445
Argentina,9052536,,128198,,8885072,,39266,429,197096,2791,35611642,775351,45929685
Netherlands,7971855,,22080,,7033734,69186,916041,122,463427,1284,21107399,1227034,17201968
Iran,7194768,3125,140650,34,6922629,3769,131489,1487,83762,1637,50079995,583036,85895228
Japan,7039563,47876,28684,38,6509598,41498,501281,465,55962,228,44736404,355640,125791297
Colombia,6088034,,139719,,5921185,,27130,342,117433,2695,34135355,658442,51842598
Indonesia,6033903,1196,155674,48,5808380,3978,69849,2771,21655,559,93301127,334843,278641793
Poland,5978596,381,115635,,5333836,26,529125,268,158276,3061,35859677,949340,37773256
Mexico,5722933,392,323725,5,5022194,1049,377014,4798,43577,2465,15674047,119349,131329847
Australia,5107611,42726,6569,5,4572728,,528314,121,196270,252,67759572,2603792,26023424
Ukraine,4982249,,108118,,,,,177,115146,2499,19521252,451162,43268832
Malaysia,4325818,,35292,,4144728,,145798,174,130690,1066,57465179,1736121,33099762
Israel,3997863,,10584,,3941841,,45438,272,428679,1135,41373364,4436346,9326000
Austria,3995418,8033,16242,16,3799939,20823,179237,206,439185,1785,179465832,19727284,9097341
Belgium,3915732,,30997,,3598674,9409,286061,176,335283,2654,33120016,2835888,11678886
Thailand,3905872,22387,26191,105,3634109,27680,245572,1496,55711,374,17270775,246338,70109942
Czechia,3863721,1395,39894,14,3784868,5974,38959,72,359612,3713,54914278,5111091,10744141
South Africa,3732075,,100096,,3619311,,12668,546,61553,1651,24060151,396824,60631833
Philippines,3681646,273,59777,8,3594516,1291,27353,289,32824,533,29165625,260032,112161766
Portugal,3667184,,21874,,,,,61,361509,2156,40464651,3988985,10144096
Canada,3568118,,38003,,3333303,,196812,367,93095,992,59839826,1561266,38327757
Peru,3551540,,212486,,,,,395,105123,6289,29204946,864447,33784532
Switzerland,3512093,,13752,,3057554,29661,440787,113,400621,1569,20400357,2327047,8766629
Chile,3512020,,57041,,3212021,,242958,423,180971,2939,36115860,1861010,19406586
Greece,3173630,,28130,,2958806,,186694,357,307137,2722,76515099,7404954,10332961
Denmark,2938487,1698,5921,13,2893894,3186,38672,22,504176,1016,126986509,21787916,5828300
Romania,2873875,1026,65210,3,2606660,,202005,275,151172,3430,22340904,1175181,19010608
Sweden,2491980,,18472,,2449763,1552,23745,22,244056,1809,18445431,1806479,10210710
Iraq,2322081,207,25186,1,2289201,677,7694,36,55527,602,18397933,439943,41818929
Serbia,1990511,1096,15890,6,1948245,2109,26376,25,229451,1832,9314097,1073660,8675092
Bangladesh,1952109,44,29124,1,1889230,530,33755,1283,11648,174,13894413,82906,167592858
Hungary,1872664,4657,45781,60,1731816,6492,95067,48,194726,4760,11221030,1166798,9616942
Slovakia,1751565,1024,19595,22,1670630,2754,61340,136,320546,3586,6977217,1276868,5464322
Jordan,1694216,,14048,,1678941,,1227,124,163182,1353,16670254,1605630,10382377
Georgia,1651577,107,16777,6,1631715,281,3085,,415427,4220,16579678,4170342,3975616
Pakistan,1526666,98,30361,,1486879,59,9426,269,6682,133,27763120,121512,228479688
Ireland,1487164,,6863,,1339295,13457,141006,55,295342,1363,11933915,2370009,5035388
Norway,1415928,,2667,,,,,20,257617,485,11002430,2001803,5496259
Kazakhstan,1305304,12,13660,,1290528,7,1116,528,68076,712,11575012,603679,19174128
Hong Kong,1191590,1407,8827,57,,,,115,156693,1161,44972952,5913901,7604617
Morocco,1164030,,16061,,1147180,,789,293,30889,426,11237010,298185,37684707
Bulgaria,1145408,,36700,,939051,,169657,136,167069,5353,9692112,1413691,6855891
Singapore,1138001,,1301,,1069285,,67415,17,191849,219,23611604,3980535,5931766
Croatia,1109148,82,15694,9,1087862,1219,5592,26,273158,3865,4722099,1162944,4060469
Cuba,1096837,,8518,,1085490,,2829,23,96942,753,12920253,1141932,11314381
Lebanon,1094672,,10341,,1072082,,12249,186,161662,1527,4795578,708215,6771357
Lithuania,1042116,627,8975,7,991623,2026,41518,45,392497,3380,8141177,3066253,2655090
Tunisia,1037358,,28425,,,,,29,86178,2361,4537900,376982,12037455
Slovenia,988066,524,6538,3,951842,950,29686,39,475159,3144,2627697,1263654,2079444
Nepal,978593,22,11951,,966074,46,568,,32550,398,5580272,185614,30063903
Belarus,970443,302,6877,3,928536,,35030,,102760,728,12970379,1373425,9443822
Finland,920692,,3334,,46000,,871358,33,165713,600,10512930,1892192,5555953
Bolivia,903396,90,21899,,848782,517,32715,220,75568,1832,2688875,224921,11954760
UAE,893970,208,2302,,874607,567,17061,,88496,228,150800649,14928020,10101852
Uruguay,893909,,7182,,883171,,3556,29,255765,2055,6068869,1736426,3495035
Ecuador,863398,,35461,,,,,759,47657,1957,2470170,136345,18117060
Costa Rica,841343,,8327,,820853,,12163,63,162533,1609,4136613,799124,5176436
Guatemala,835338,,17377,,812888,,5073,5,45149,939,4322582,233630,18501840
Latvia,808979,180,5684,5,785988,928,17307,27,437451,3074,7103645,3841257,1849302
Azerbaijan,792253,16,9703,,782351,19,199,,76911,942,6746085,654902,10300902
New Zealand,774928,7633,469,12,702993,10242,71466,,154921,94,6954369,1390290,5002100
Panama,766931,,8176,,756736,,2019,9,172929,1844,5757004,1298102,4434939
Saudi Arabia,751943,130,9058,,737482,283,5403,75,21020,253,41680662,1165139,35773122
Sri Lanka,662592,,16489,,642500,,3603,,30715,764,6368159,295203,21572141
Paraguay,648446,,18734,,624673,,5039,3,88980,2571,2615453,358892,7287567
Kuwait,630252,,2555,,626264,,1433,6,143817,583,7948416,1813747,4382317
Myanmar,612341,,19434,,590889,,2018,,11122,353,7782033,141349,55055305
Palestine,581678,,5352,,575613,,713,17,109520,1008,3078533,579635,5311157
Dominican Republic,578531,,4375,,574035,,121,20,52401,396,3247359,294134,11040412
Estonia,564309,278,2495,1,496050,529,65764,5,424895,1879,3277017,2467421,1328114
Bahrain,560023,,1473,,554013,,4537,4,310067,816,9649168,5342446,1806133
Venezuela,521471,,5695,,514082,,1694,230,18431,201,3359014,118721,28293361
Moldova,515445,,11462,,501862,,2121,46,128304,2853,3184739,792742,4017372
Egypt,509177,,24473,,438458,,46246,122,4815,231,3693367,34926,105748814
Libya,501834,,6429,,490837,,4568,101,71317,914,2475203,351760,7036619
Ethiopia,470050,,7509,,453570,,8971,17,3917,63,4704274,39202,119999775
Mongolia,469151,15,2177,,313256,,153718,192,139144,646,4030048,1195260,3371692
Cyprus,457585,,982,,124370,,332233,60,374176,803,9477138,7749642,1222913
Armenia,422678,1,8621,1,410341,17,3716,,142170,2900,3000333,1009178,2973045
Honduras,421268,,10888,,131100,,279280,105,41368,1069,1263329,124059,10183314
Oman,388709,23,4254,,383749,68,706,4,72842,797,25000000,4684888,5336307
Bosnia and Herzegovina,376198,117,15740,8,192218,,168240,,115942,4851,1744951,537784,3244708
Qatar,362937,154,677,,361013,138,1247,1,129260,241,3417795,1217248,2807805
Réunion,347941,,720,,331736,,15485,10,383779,794,1603660,1768836,906619
Kenya,323541,,5648,,317775,,118,1,5791,101,3549966,63544,55866269
Zambia,317804,54,3967,,313073,71,764,,16471,206,3382643,175318,19294367
North Macedonia,307817,23,9252,1,297354,190,1211,,147760,4441,1984493,952607,2083223
Botswana,305526,,2686,,302476,,364,1,125441,1103,2026898,832190,2435618
Albania,274219,,3493,,270341,,385,2,95472,1216,1786831,622105,2872236
Algeria,265724,,6874,,178321,,80529,6,5872,152,230861,5102,45251863
Nigeria,255606,,3142,,249718,,2746,11,1188,15,4906535,22802,215175364
Zimbabwe,246973,,5457,,240339,,1177,12,16199,358,2214122,145229,15245741
Uzbekistan,238088,17,1637,,236022,41,429,23,6936,48,1377915,40140,34327437
Montenegro,233721,,2706,,230555,,460,6,372045,4307,2432283,3871786,628207
Mozambique,225293,,2200,,223047,,46,13,6868,67,1302362,39701,32803865
Luxembourg,223666,,1045,,204847,,17774,4,347310,1623,4184582,6497838,643996
Kyrgyzstan,200970,,2991,,196303,10,1676,131,29930,445,1907195,284036,6714629
Laos,196127,662,700,2,7660,,187767,,26282,94,1032460,138356,7462358
Iceland,183363,,102,,75685,,107576,1,531238,296,1953616,5659997,345162
Afghanistan,177974,,7671,,161033,,9270,1124,4397,190,926472,22888,40478994
Maldives,177658,,298,,163687,,13673,25,318734,535,2213831,3971809,557386
Uganda,163996,3,3596,,100200,2,60200,,3396,74,2590661,53642,48294982
El Salvador,162089,,4122,,150662,,7305,8,24769,630,1950448,298046,6544124
Ghana,161048,,1445,,159566,,37,1,4998,45,2426051,75296,32220242
Namibia,157896,,4021,,153069,,806,,60213,1533,991139,377964,2622310
Martinique,147519,,918,,104,,146497,8,393646,2450,828928,2211949,374750
Trinidad and Tobago,140332,,3780,,130316,,6236,18,99702,2686,682433,484852,1407508
Guadeloupe,140130,,854,,2250,,137026,19,350111,2134,938039,2343662,400245
Brunei,138811,281,215,,136183,110,2413,5,312011,483,717784,1613389,444892
Cambodia,135963,16,3055,,132639,21,269,,7938,178,2939061,171590,17128368
Rwanda,129750,,1458,,45522,,82770,1,9597,108,5166836,382161,13520040
Jamaica,128972,,2902,,81812,,44258,,43221,973,945271,316776,2984040
Cameroon,119780,,1927,,117791,,62,13,4322,70,1751774,63208,27714481
Angola,99194,,1900,,97149,,145,,2861,55,1499795,43254,34673857
DRC,86748,,1337,,50930,,34481,,919,14,846704,8972,94375655
Malta,86595,433,664,2,76401,340,9530,4,195199,1497,1841246,4150465,443624
Senegal,85952,2,1965,,83962,3,25,,4905,112,1055759,60246,17524218
Malawi,85703,,2628,,81385,,1690,67,4284,131,566331,28311,20004139
Ivory Coast,81828,,796,,80985,,47,,2972,29,1482520,53844,27533484
French Guiana,79529,,394,,11254,,67881,4,254596,1261,613484,1963947,312373
Suriname,79241,,1325,,49392,,28524,,132969,2223,235564,395285,595934
French Polynesia,72528,,648,,,,,7,255576,2283,,,283782
Channel Islands,70138,,157,,68420,,1561,,396935,889,1249036,7068721,176699
Eswatini,69968,,1395,,68487,,86,11,59224,1181,1007248,852573,1181421
Fiji,64499,,834,,62644,11,1021,,71039,919,505948,557248,907941
Madagascar,64089,,1390,,59355,,3344,14,2214,48,415532,14353,28949945
Guyana,63326,,1226,,61991,,109,3,79829,1546,577611,728140,793269
Barbados,62214,,379,,59312,,2523,,216022,1316,624286,2167675,287998
Sudan,61987,,4907,,,,,,1358,107,562941,12329,45660018
New Caledonia,60362,,312,,59941,,109,9,207890,1075,98964,340838,290355
Mauritania,58677,,982,,57684,,11,,12059,202,789980,162354,4865788
Belize,57318,,656,,56456,,206,6,139664,1598,525140,1279587,410398
Cabo Verde,55972,,401,,55504,,67,23,98773,708,400982,707607,566673
Syria,55742,,3146,,51860,,736,,3054,172,146269,8014,18252535
Gabon,47588,,303,,47270,,15,,20524,131,1589113,685370,2318619
Papua New Guinea,43374,,643,,42597,,134,7,4691,70,249149,26944,9246837
Bhutan,42856,634,14,,33132,1218,9710,6,54480,18,2183488,2775704,786643
Curaçao,41153,,270,,40306,,577,3,248988,1634,494095,2989424,165281
Seychelles,40866,,164,,39963,,739,,411023,1649,,,99425
Andorra,40328,,153,,39702,,473,14,520469,1975,249838,3224382,77484
Burundi,38663,,38,,773,,37852,,3089,3,345742,27622,12516958
Mauritius,37149,46,985,,34934,187,1230,,29125,772,358675,281203,1275503
Mayotte,36958,,187,,2964,,33807,,129925,657,176919,621953,284457
Togo,36957,,272,,36659,,26,,4286,32,723005,83857,8621893
Guinea,36459,,440,,35976,,43,8,2649,32,660107,47963,13762719
Faeroe Islands,34658,,28,,7693,,26937,5,704560,569,778000,15815901,49191
Aruba,34189,,212,,33893,,84,2,317836,1971,177885,1653698,107568
Tanzania,33815,,800,,,,,7,539,13,,,62742768
Bahamas,33358,,789,,32237,,332,11,83417,1973,229025,572716,399893
Lesotho,32910,,697,,24155,,8058,,15150,321,431221,198509,2172302
Haiti,30585,,835,,29082,,668,,2626,72,132422,11368,11648491
Mali,30566,,729,,29670,,167,,1436,34,655427,30797,21282207
Isle of Man,28416,,84,,26794,,1538,,331077,979,150753,1756434,85829
Taiwan,28040,630,854,,21237,89,5949,,1174,36,13325885,557730,23893063
Benin,26952,,163,,25506,,1283,5,2125,13,604310,47641,12684743
Somalia,26471,,1350,,13182,,11939,,1587,81,400466,24013,16677294
Congo,24079,,385,,20178,,3516,,4182,67,347815,60402,5758294
Saint Lucia,23037,,365,,22612,,60,1,124449,1972,141215,762862,185112
Timor-Leste,22842,,130,,22697,,15,,16760,95,258938,189995,1362867
